gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,property_valuation,age,diverging_job_title,post_code_cut,diverging_post_code
Male,12,1997-03-13,Chief Design Engineer,Retail,Mass Customer,No,6,89 Parkside Street,3021,VIC,6,20,Other,"(2950,3050]","(2950,3050]"
Male,28,1956-10-16,Account Executive,Entertainment,High Net Worth,No,10,7 Hazelcrest Place,2165,NSW,8,60,Other,"(2150,2250]",Other
Female,9,1947-02-28,Information Systems Manager,Property,Mass Customer,Yes,22,013 David Junction,4211,QLD,7,70,Information Systems Manager,"(4150,4250]",Other
Male,11,2000-04-07,Legal Assistant,Manufacturing,Mass Customer,No,4,840 Graceland Street,2125,NSW,11,17,Other,"(2050,2150]",Other
Female,50,1997-09-04,Business Systems Development Analyst,n/a,Mass Customer,No,5,6 Lotheville Trail,2444,NSW,7,19,Other,"(2350,2450]",Other
Female,8,1963-01-01,Occupational Therapist,Health,Affluent Customer,Yes,18,890 Truax Lane,4285,QLD,2,54,Other,"(4250,4350]",Other
Male,78,1980-02-16,Statistician,Financial Services,Mass Customer,Yes,18,72922 Cambridge Terrace,2026,NSW,11,37,Other,"[1950,2050]",Other
Male,68,1981-06-20,Payment Adjustment Coordinator,Retail,Mass Customer,Yes,15,6 Novick Alley,3934,VIC,8,35,Other,"(3850,3950]",Other
Male,66,1979-02-05,Technical Writer,Health,Mass Customer,Yes,7,76 Donald Trail,2160,NSW,9,38,Other,"(2150,2250]",Other
Male,66,2000-01-25,Chief Design Engineer,Health,High Net Worth,No,9,3630 Dawn Crossing,2446,NSW,8,17,Other,"(2350,2450]",Other
Male,0,2000-06-25,Technical Writer,Manufacturing,Mass Customer,Yes,15,68 Fairfield Street,4115,QLD,8,16,Other,"(4050,4150]",Other
Male,54,1964-06-22,Cost Accountant,Financial Services,High Net Worth,No,8,5 Briar Crest Road,2099,NSW,9,52,Other,"(2050,2150]",Other
Female,46,1954-11-13,Associate Professor,Financial Services,Mass Customer,No,7,945 Bobwhite Court,2430,NSW,8,62,Other,"(2350,2450]",Other
Female,48,1963-12-13,VP Marketing,Health,Affluent Customer,Yes,14,2 Glendale Center,4207,QLD,4,53,Other,"(4150,4250]",Other
Male,52,1978-05-31,Health Coach,Health,Mass Customer,Yes,14,21824 Northridge Alley,2117,NSW,10,39,Other,"(2050,2150]",Other
Male,50,1943-09-24,Statistician,Manufacturing,Mass Customer,Yes,18,68 Anthes Park,2007,NSW,9,73,Other,"[1950,2050]",Other
Male,94,1965-08-15,Mechanical Systems Engineer,n/a,Mass Customer,No,14,3 Anthes Court,2148,NSW,9,51,Other,"(2050,2150]",Other
Female,53,1943-07-14,Teacher,Property,Mass Customer,No,16,036 Redwing Street,2011,NSW,7,73,Other,"[1950,2050]",Other
Female,25,1997-07-23,Media Manager,n/a,Mass Customer,Yes,13,92 Petterle Place,3429,VIC,8,19,Media Manager,"(3350,3450]","(3350,3450]"
Female,97,1943-10-05,Mechanical Systems Engineer,Telecommunications,High Net Worth,Yes,13,87 Sheridan Junction,2281,NSW,8,73,Other,"(2250,2350]",Other
Female,30,1939-04-04,Director of Sales,n/a,Mass Customer,Yes,8,811 Melrose Park,2224,NSW,10,78,Other,"(2150,2250]",Other
Female,84,1941-10-02,Design Engineer,Entertainment,Mass Customer,Yes,15,2 Logan Avenue,4307,QLD,1,75,Design Engineer,"(4250,4350]",Other
Male,4,1961-05-27,Professor,n/a,Mass Customer,Yes,5,538 Gina Way,4105,QLD,8,56,Other,"(4050,4150]",Other
Female,18,1974-01-24,VP Quality Control,Manufacturing,High Net Worth,Yes,9,52761 Portage Crossing,3170,VIC,9,43,Other,"(3150,3250]",Other
Female,94,1959-05-08,Nurse Practicioner,Manufacturing,Mass Customer,No,5,8 Fieldstone Street,4065,QLD,9,58,Other,"(4050,4150]",Other
Male,57,1969-09-21,Associate Professor,Manufacturing,Affluent Customer,Yes,16,8957 Anhalt Alley,3004,VIC,4,47,Other,"(2950,3050]","(2950,3050]"
Male,29,1957-11-15,Junior Executive,Health,Mass Customer,No,12,5 High Crossing Junction,4556,QLD,8,59,Other,"(4550,4650]",Other
Female,2,1950-09-05,Safety Technician,n/a,Mass Customer,Yes,19,75760 Toban Junction,4006,QLD,5,66,Other,"(3950,4050]",Other
Female,8,1967-09-11,Recruiter,Manufacturing,Affluent Customer,Yes,4,178 Waxwing Trail,3134,VIC,10,49,Other,"(3050,3150]",Other
Female,74,1963-05-02,Business Systems Development Analyst,Financial Services,High Net Worth,No,14,8648 Green Alley,4680,QLD,3,54,Other,"(4650,4750]",Other
Male,49,1971-04-26,Senior Cost Accountant,Financial Services,Affluent Customer,Yes,10,08912 Carberry Place,4036,QLD,7,46,Other,"(3950,4050]",Other
Male,59,1978-12-11,Product Engineer,Property,High Net Worth,Yes,11,720 Menomonie Crossing,2380,NSW,4,38,Other,"(2350,2450]",Other
Male,57,1974-05-14,Analog Circuit Design manager,Entertainment,High Net Worth,No,18,0686 Hallows Trail,4506,QLD,3,43,Analog Circuit Design manager,"(4450,4550]",Other
Female,90,1975-03-12,Cost Accountant,Financial Services,Mass Customer,No,11,6668 Blue Bill Park Plaza,2209,NSW,10,42,Other,"(2150,2250]",Other
Male,85,1967-02-03,Software Test Engineer,Health,Affluent Customer,Yes,6,06 Dwight Park,4119,QLD,2,50,Other,"(4050,4150]",Other
Female,13,1961-01-16,Sales Representative,Retail,Mass Customer,No,9,5202 Crowley Place,2145,NSW,9,56,Other,"(2050,2150]",Other
Female,91,1980-09-16,Product Engineer,IT,Mass Customer,No,9,14709 Portage Avenue,2166,NSW,9,36,Other,"(2150,2250]",Other
Female,75,1997-09-25,Structural Analysis Engineer,Financial Services,High Net Worth,No,12,895 Glendale Park,2026,NSW,12,19,Other,"[1950,2050]",Other
Female,17,1939-07-17,Nuclear Power Engineer,Manufacturing,Mass Customer,No,16,0474 Bowman Hill,3031,VIC,10,77,Other,"(2950,3050]","(2950,3050]"
Female,49,1959-04-11,Account Coordinator,Retail,Mass Customer,No,15,652 Fuller Terrace,3206,VIC,12,58,Other,"(3150,3250]",Other
Male,37,1962-03-03,Quality Control Specialist,n/a,Mass Customer,No,5,5356 Sugar Plaza,4818,QLD,3,55,Other,"(4750,4850]","(4750,4850]"
Female,45,2000-09-25,Product Engineer,n/a,Mass Customer,Yes,9,7 Schiller Point,4113,QLD,6,16,Other,"(4050,4150]",Other
Female,41,1971-11-27,Geological Engineer,Manufacturing,High Net Worth,No,19,9193 Prairieview Drive,2155,NSW,10,45,Other,"(2150,2250]",Other
Female,9,1969-07-06,Recruiting Manager,Retail,Mass Customer,Yes,14,13272 Basil Avenue,3103,VIC,9,47,Recruiting Manager,"(3050,3150]",Other
Female,21,1991-06-07,Analog Circuit Design manager,Argiculture,High Net Worth,No,6,29 Aberg Crossing,4210,QLD,6,25,Analog Circuit Design manager,"(4150,4250]",Other
Male,88,1992-11-18,Software Engineer,IT,Mass Customer,Yes,10,4 Monterey Road,4165,QLD,9,24,Other,"(4150,4250]",Other
Female,36,1948-01-13,Cost Accountant,Financial Services,Mass Customer,Yes,7,416 Lighthouse Bay Lane,4510,QLD,5,69,Other,"(4450,4550]",Other
Male,57,1996-02-19,Account Executive,Manufacturing,Affluent Customer,Yes,2,05475 Elgar Place,4000,QLD,6,21,Other,"(3950,4050]",Other
Female,81,1969-11-17,Desktop Support Technician,Property,Mass Customer,Yes,18,47 Kim Terrace,2566,NSW,8,47,Other,"(2550,2650]",Other
Female,82,1973-09-25,Actuary,Financial Services,Mass Customer,No,7,590 Hagan Parkway,3805,VIC,7,43,Other,"(3750,3850]",Other
Male,70,1951-12-16,Engineer,Manufacturing,Affluent Customer,Yes,14,94694 Eagle Crest Terrace,3977,VIC,7,65,Other,"(3950,4050]",Other
Female,89,1972-01-17,Database Administrator,Health,High Net Worth,No,8,261 Orin Center,2763,NSW,8,45,Other,"(2750,2850]",Other
Male,84,1996-07-01,Chemical Engineer,Manufacturing,High Net Worth,Yes,1,667 Waxwing Plaza,3199,VIC,7,20,Other,"(3150,3250]",Other
Female,99,1976-08-24,Accountant,Manufacturing,Mass Customer,No,3,88 Mifflin Pass,2529,NSW,10,40,Other,"(2450,2550]",Other
Male,48,1956-06-28,Executive Secretary,Manufacturing,Mass Customer,No,6,10 Dexter Park,2177,NSW,9,60,Other,"(2150,2250]",Other
Male,35,1976-06-11,Structural Engineer,Manufacturing,Affluent Customer,No,13,3 Sundown Hill,2168,NSW,9,40,Other,"(2150,2250]",Other
Female,90,1966-03-07,Environmental Specialist,n/a,Affluent Customer,Yes,7,655 Glendale Trail,3976,VIC,3,51,Other,"(3950,4050]",Other
Female,70,1953-03-12,Office Assistant,Telecommunications,High Net Worth,No,6,39192 Glendale Alley,2092,NSW,12,64,Other,"(2050,2150]",Other
Male,50,1962-10-06,Research Associate,Health,Affluent Customer,Yes,5,7307 Lake View Crossing,3804,VIC,9,54,Research Associate,"(3750,3850]",Other
Female,64,1976-03-07,Database Administrator,Financial Services,Mass Customer,Yes,16,1199 Express Plaza,3046,VIC,9,41,Other,"(2950,3050]","(2950,3050]"
Female,81,1965-07-03,General Manager,Financial Services,Affluent Customer,No,17,1 Namekagon Point,3791,VIC,9,51,General Manager,"(3750,3850]",Other
Male,7,1968-10-14,Graphic Designer,n/a,Mass Customer,No,6,602 Meadow Vale Lane,2111,NSW,12,48,Graphic Designer,"(2050,2150]",Other
Female,26,1971-09-18,Design Engineer,Telecommunications,Mass Customer,Yes,10,6784 Spohn Alley,3021,VIC,8,45,Design Engineer,"(2950,3050]","(2950,3050]"
Female,37,1978-04-02,Associate Professor,Manufacturing,Mass Customer,No,19,67 Shelley Crossing,3350,VIC,2,39,Other,"(3250,3350]",Other
Male,81,1959-01-05,Quality Control Specialist,n/a,Mass Customer,No,17,07 Dayton Court,4005,QLD,7,58,Other,"(3950,4050]",Other
Female,88,1967-01-09,Pharmacist,Health,Mass Customer,No,11,351 Sunfield Lane,4370,QLD,7,50,Other,"(4350,4450]","(4350,4450]"
Male,3,1957-03-23,Payment Adjustment Coordinator,Financial Services,High Net Worth,Yes,19,8427 Moulton Place,2680,NSW,3,60,Other,"(2650,2750]",Other
Male,70,1947-04-22,Senior Sales Associate,Argiculture,Affluent Customer,No,13,984 Del Sol Junction,4659,QLD,8,70,Other,"(4650,4750]",Other
Female,2,1958-12-28,Technical Writer,n/a,Affluent Customer,No,6,3 Pepper Wood Hill,4218,QLD,10,58,Other,"(4150,4250]",Other
Female,96,1976-04-20,Account Representative,Retail,Affluent Customer,Yes,9,8737 Scoville Center,2770,NSW,7,41,Other,"(2750,2850]",Other
Male,50,1990-11-13,Account Coordinator,Manufacturing,High Net Worth,Yes,10,385 Montana Place,3012,VIC,1,26,Other,"(2950,3050]","(2950,3050]"
Female,95,1981-06-03,Research Assistant,n/a,High Net Worth,No,12,3 Surrey Court,2019,NSW,11,35,Other,"[1950,2050]",Other
Male,15,1972-07-30,Nuclear Power Engineer,Manufacturing,Affluent Customer,No,9,2 Magdeline Street,3199,VIC,8,44,Other,"(3150,3250]",Other
Male,89,1958-12-07,Chief Design Engineer,n/a,Affluent Customer,No,20,93235 Hoard Trail,3165,VIC,6,58,Other,"(3150,3250]",Other
Female,88,1963-05-11,Associate Professor,Health,Mass Customer,Yes,6,356 Carberry Avenue,3082,VIC,7,54,Other,"(3050,3150]",Other
Male,36,1980-02-01,Financial Advisor,Financial Services,Mass Customer,No,4,71 Ludington Center,4208,QLD,8,37,Other,"(4150,4250]",Other
Female,68,1988-01-30,Senior Financial Analyst,Financial Services,Mass Customer,Yes,5,2116 Continental Terrace,2795,NSW,7,29,Other,"(2750,2850]",Other
Male,97,1965-02-27,Account Executive,Financial Services,Mass Customer,Yes,4,7 Elgar Road,2148,NSW,8,52,Other,"(2050,2150]",Other
Female,59,1947-10-08,Physical Therapy Assistant,Retail,Mass Customer,No,17,71 Stone Corner Avenue,2007,NSW,11,69,Physical Therapy Assistant,"[1950,2050]",Other
Male,39,1988-01-10,Systems Administrator,Retail,Mass Customer,Yes,10,0 Esker Avenue,4019,QLD,5,29,Other,"(3950,4050]",Other
Female,97,1993-08-09,Cost Accountant,Financial Services,Mass Customer,No,7,61825 Debs Terrace,3167,VIC,9,23,Other,"(3150,3250]",Other
Male,79,1981-08-05,Systems Administrator,Health,Affluent Customer,Yes,11,11 Oak Terrace,2026,NSW,12,35,Other,"[1950,2050]",Other
Female,56,1949-05-20,Account Executive,n/a,Affluent Customer,No,11,7 Michigan Hill,2076,NSW,11,68,Other,"(2050,2150]",Other
Female,42,1955-07-17,Quality Engineer,Financial Services,High Net Worth,Yes,13,8 Randy Park,4214,QLD,8,61,Other,"(4150,4250]",Other
Female,81,1974-08-09,Recruiting Manager,Financial Services,Mass Customer,No,6,0 Mayfield Parkway,4272,QLD,7,42,Recruiting Manager,"(4250,4350]",Other
Male,1,1954-11-09,Marketing Manager,n/a,Affluent Customer,Yes,11,57903 Hanson Parkway,2570,NSW,9,62,Marketing Manager,"(2550,2650]",Other
Female,45,1981-02-15,Occupational Therapist,Health,Mass Customer,No,11,99 Westend Court,2287,NSW,6,36,Other,"(2250,2350]",Other
Female,28,1965-12-13,Design Engineer,Health,Mass Customer,No,5,31675 Corry Way,3977,VIC,5,51,Design Engineer,"(3950,4050]",Other
Male,61,1989-12-15,Teacher,Manufacturing,High Net Worth,No,7,4882 Dakota Center,2305,NSW,8,27,Other,"(2250,2350]",Other
Male,95,1968-11-24,Senior Sales Associate,Manufacturing,Mass Customer,No,7,4 Warner Circle,2227,NSW,11,48,Other,"(2150,2250]",Other
Female,73,1992-01-31,Operator,n/a,High Net Worth,Yes,3,4 Manufacturers Crossing,4170,QLD,8,25,Other,"(4150,4250]",Other
Female,96,1978-05-13,Office Assistant,Manufacturing,High Net Worth,No,18,016 Westport Park,3073,VIC,9,39,Other,"(3050,3150]",Other
Female,3,1957-10-17,Pharmacist,Health,Mass Customer,Yes,15,19 Debs Parkway,3029,VIC,6,59,Other,"(2950,3050]","(2950,3050]"
Female,74,1955-07-28,Human Resources Assistant,Health,Affluent Customer,Yes,14,4110 Mifflin Center,2127,NSW,8,61,Other,"(2050,2150]",Other
Male,87,1981-09-11,Analyst Programmer,Financial Services,Affluent Customer,Yes,4,62 Spaight Center,2566,NSW,9,35,Analyst Programmer,"(2550,2650]",Other
Male,78,1976-11-06,Information Systems Manager,n/a,High Net Worth,Yes,7,3 Express Lane,3021,VIC,7,40,Information Systems Manager,"(2950,3050]","(2950,3050]"
Male,23,1977-04-08,Engineer,Financial Services,High Net Worth,No,12,7353 Mallard Junction,2165,NSW,6,40,Other,"(2150,2250]",Other
Female,0,1981-11-29,Software Engineer,Property,Mass Customer,No,17,066 Warner Trail,2582,NSW,9,35,Other,"(2550,2650]",Other
Male,35,1992-08-27,Account Representative,Manufacturing,High Net Worth,No,9,52752 Barby Hill,3020,VIC,9,24,Other,"(2950,3050]","(2950,3050]"
Female,14,1955-01-08,Programmer,Health,High Net Worth,No,7,0 Stoughton Park,3000,VIC,1,62,Other,"(2950,3050]","(2950,3050]"
Female,17,1952-05-19,Senior Sales Associate,Financial Services,Mass Customer,Yes,18,49 Jana Point,4503,QLD,4,65,Other,"(4450,4550]",Other
Male,84,1982-02-10,VP Sales,n/a,Mass Customer,No,12,7 Fordem Point,4161,QLD,5,35,Other,"(4150,4250]",Other
Male,32,1978-07-22,Technical Writer,Manufacturing,High Net Worth,No,21,797 Westend Street,4207,QLD,6,38,Other,"(4150,4250]",Other
Female,32,1972-11-26,Senior Developer,Property,Mass Customer,No,11,5316 Farwell Hill,2800,NSW,4,44,Other,"(2750,2850]",Other
Male,17,1999-06-23,Accountant,n/a,Affluent Customer,No,9,770 Crest Line Parkway,4218,QLD,3,17,Other,"(4150,4250]",Other
Male,46,1959-12-25,Marketing Manager,n/a,High Net Worth,Yes,15,50 American Street,2147,NSW,9,57,Marketing Manager,"(2050,2150]",Other
Male,64,1997-09-27,Librarian,Entertainment,Mass Customer,Yes,7,4793 Mcbride Pass,3013,VIC,8,19,Other,"(2950,3050]","(2950,3050]"
Male,33,1978-05-27,Media Manager,Retail,Affluent Customer,Yes,9,01124 Dottie Lane,3630,VIC,2,39,Media Manager,"(3550,3650]","(3550,3650]"
Female,62,1945-08-08,Financial Advisor,Financial Services,Mass Customer,Yes,15,42681 Carey Alley,2011,NSW,10,71,Other,"[1950,2050]",Other
Male,81,1943-08-27,Civil Engineer,Manufacturing,Mass Customer,No,7,2941 Talisman Alley,2145,NSW,9,73,Civil Engineer,"(2050,2150]",Other
Female,8,1999-10-24,Environmental Tech,Financial Services,Mass Customer,Yes,16,990 Hoffman Avenue,3029,VIC,7,17,Other,"(2950,3050]","(2950,3050]"
Male,53,1976-01-24,Chief Design Engineer,n/a,Affluent Customer,No,14,5 Summer Ridge Court,3207,VIC,8,41,Other,"(3150,3250]",Other
Female,80,1975-03-28,Editor,n/a,High Net Worth,Yes,7,5 Trailsway Avenue,3059,VIC,9,42,Other,"(3050,3150]",Other
Female,93,1969-10-09,Human Resources Manager,Health,Affluent Customer,Yes,17,23694 Leroy Place,4560,QLD,3,47,Human Resources Manager,"(4550,4650]",Other
Female,38,1968-12-11,Software Consultant,IT,Mass Customer,Yes,11,53 Memorial Street,3163,VIC,10,48,Other,"(3150,3250]",Other
Male,84,1951-11-27,Data Coordiator,IT,Affluent Customer,No,10,691 Valley Edge Alley,4078,QLD,6,65,Other,"(4050,4150]",Other
Female,22,1939-12-22,VP Marketing,Manufacturing,Mass Customer,Yes,16,60073 Pankratz Pass,4075,QLD,10,77,Other,"(4050,4150]",Other
Male,17,1964-09-28,Business Systems Development Analyst,Manufacturing,Affluent Customer,Yes,13,8 Schlimgen Drive,4055,QLD,7,52,Other,"(4050,4150]",Other
Female,43,1941-07-21,Associate Professor,Property,Mass Customer,Yes,7,69710 Northfield Center,2256,NSW,9,75,Other,"(2250,2350]",Other
Male,22,1961-02-11,Software Consultant,Financial Services,High Net Worth,Yes,17,1 Kinsman Crossing,4158,QLD,6,56,Other,"(4150,4250]",Other
Female,11,1953-08-08,Social Worker,Health,Mass Customer,No,5,40553 Rigney Avenue,2835,NSW,1,63,Other,"(2750,2850]",Other
Male,67,1981-05-26,Web Developer,Manufacturing,High Net Worth,No,12,48578 Farmco Park,3235,VIC,10,36,Other,"(3150,3250]",Other
Male,18,1956-12-02,Assistant Manager,n/a,Mass Customer,No,17,91634 Badeau Crossing,4556,QLD,8,60,Assistant Manager,"(4550,4650]",Other
Female,74,1944-10-21,Environmental Specialist,Argiculture,Mass Customer,Yes,17,28 Golf View Terrace,3101,VIC,10,72,Other,"(3050,3150]",Other
Male,19,1953-10-19,Pharmacist,Health,Affluent Customer,Yes,12,0197 Sachs Avenue,2747,NSW,8,63,Other,"(2650,2750]",Other
Female,59,2002-02-27,Technical Writer,n/a,Affluent Customer,Yes,14,48297 Stuart Circle,3810,VIC,5,15,Other,"(3750,3850]",Other
Female,45,1980-07-30,Registered Nurse,Health,Affluent Customer,No,10,67 Heath Circle,2290,NSW,8,36,Other,"(2250,2350]",Other
Female,30,1944-11-10,Human Resources Manager,Health,Mass Customer,Yes,11,3 Sheridan Lane,3075,VIC,7,72,Human Resources Manager,"(3050,3150]",Other
Male,59,1971-01-11,Electrical Engineer,Manufacturing,Affluent Customer,No,12,04 Oakridge Plaza,2075,NSW,11,46,Other,"(2050,2150]",Other
Male,99,1990-07-28,Media Manager,Retail,High Net Worth,No,10,335 Cambridge Hill,3122,VIC,7,26,Media Manager,"(3050,3150]",Other
Male,7,1979-10-31,Senior Editor,Telecommunications,Mass Customer,No,12,4597 Marcy Point,2232,NSW,10,37,Other,"(2150,2250]",Other
Female,67,1997-12-26,Nurse Practicioner,Financial Services,Mass Customer,Yes,10,9 Walton Way,2641,NSW,2,19,Other,"(2550,2650]",Other
Male,13,1957-09-03,Technical Writer,Financial Services,Mass Customer,No,13,27429 Dottie Plaza,3145,VIC,11,59,Other,"(3050,3150]",Other
Female,62,1999-11-08,Computer Systems Analyst,Financial Services,Mass Customer,Yes,15,42 Donald Hill,2323,NSW,4,17,Other,"(2250,2350]",Other
Female,84,1971-12-24,Business Systems Development Analyst,Financial Services,Mass Customer,No,11,19561 Express Street,2777,NSW,8,45,Other,"(2750,2850]",Other
Male,18,1959-06-13,Paralegal,Financial Services,High Net Worth,Yes,9,41 Kropf Road,3175,VIC,7,57,Other,"(3150,3250]",Other
Female,6,1957-10-01,Recruiting Manager,n/a,Mass Customer,Yes,20,0516 Fremont Point,2026,NSW,9,59,Recruiting Manager,"[1950,2050]",Other
Male,50,1994-10-21,Help Desk Technician,IT,High Net Worth,No,4,7872 South Junction,3197,VIC,4,22,Other,"(3150,3250]",Other
Female,57,1978-08-02,Help Desk Technician,n/a,Mass Customer,No,11,81 Donald Parkway,4218,QLD,11,38,Other,"(4150,4250]",Other
Male,30,1963-08-20,Food Chemist,Health,Mass Customer,Yes,6,105 Carpenter Court,2220,NSW,9,53,Other,"(2150,2250]",Other
Male,4,1974-07-05,Librarian,Entertainment,Mass Customer,No,9,58231 Tomscot Plaza,2209,NSW,10,42,Other,"(2150,2250]",Other
Male,54,1975-08-04,Web Designer,Financial Services,Affluent Customer,No,11,3 Loeprich Point,3204,VIC,11,41,Other,"(3150,3250]",Other
Male,7,1960-09-12,Director of Sales,n/a,High Net Worth,Yes,20,540 Katie Street,4128,QLD,8,56,Other,"(4050,4150]",Other
Female,81,1986-12-03,Human Resources Assistant,Financial Services,High Net Worth,No,2,66 Ruskin Parkway,3579,VIC,1,30,Other,"(3550,3650]","(3550,3650]"
Female,34,1974-06-24,Nuclear Power Engineer,Manufacturing,Affluent Customer,No,14,9736 Mitchell Pass,3199,VIC,6,42,Other,"(3150,3250]",Other
Female,40,1942-01-23,Data Coordiator,Financial Services,Mass Customer,Yes,16,9 Springview Terrace,4068,QLD,5,75,Other,"(4050,4150]",Other
Female,7,1963-01-14,Junior Executive,Manufacturing,Mass Customer,No,12,1914 Oakridge Place,2456,NSW,6,54,Other,"(2450,2550]",Other
Female,4,1996-01-24,VP Product Management,Financial Services,Affluent Customer,Yes,2,179 Anzinger Center,2230,NSW,12,21,Other,"(2150,2250]",Other
Male,85,1964-01-31,Data Coordiator,Health,Mass Customer,Yes,8,62 Melrose Court,2211,NSW,10,53,Other,"(2150,2250]",Other
Female,65,1944-10-05,Product Engineer,Entertainment,Affluent Customer,No,17,84650 Novick Point,2261,NSW,7,72,Other,"(2250,2350]",Other
Male,82,1995-05-18,Staff Scientist,Financial Services,Affluent Customer,Yes,9,5 Hoard Parkway,3754,VIC,6,22,Other,"(3750,3850]",Other
Male,46,1954-06-14,Help Desk Operator,Manufacturing,High Net Worth,Yes,9,376 Talmadge Street,4124,QLD,7,62,Other,"(4050,4150]",Other
Female,15,1973-08-25,Account Executive,n/a,Affluent Customer,Yes,8,2972 Holy Cross Crossing,3153,VIC,5,43,Other,"(3150,3250]",Other
Male,51,1993-03-02,Structural Engineer,Telecommunications,Affluent Customer,No,5,89 Riverside Court,4740,QLD,3,24,Other,"(4650,4750]",Other
Female,75,1948-06-30,Quality Control Specialist,n/a,Mass Customer,No,22,540 Forest Run Plaza,2168,NSW,7,68,Other,"(2150,2250]",Other
Female,25,1979-02-26,Chief Design Engineer,n/a,High Net Worth,No,21,817 Bunker Hill Place,3977,VIC,6,38,Other,"(3950,4050]",Other
Female,92,1939-08-28,Senior Editor,Manufacturing,Affluent Customer,No,10,4669 Troy Place,2207,NSW,10,77,Other,"(2150,2250]",Other
Male,36,1982-12-10,Data Coordiator,Retail,Mass Customer,Yes,6,02 Roth Drive,2022,NSW,11,34,Other,"[1950,2050]",Other
Male,10,1950-04-26,Quality Engineer,Financial Services,Mass Customer,No,19,7 Northridge Court,3192,VIC,9,67,Other,"(3150,3250]",Other
Female,73,1961-12-22,Assistant Media Planner,Entertainment,Mass Customer,Yes,9,97 Transport Plaza,2097,NSW,12,55,Other,"(2050,2150]",Other
Female,66,2002-01-17,VP Sales,Health,Mass Customer,Yes,4,67183 Anniversary Parkway,4211,QLD,3,15,Other,"(4150,4250]",Other
Male,54,1942-08-09,Environmental Specialist,Health,Mass Customer,Yes,21,61926 Tomscot Hill,2019,NSW,8,74,Other,"[1950,2050]",Other
Male,72,1979-03-24,Financial Advisor,Financial Services,Affluent Customer,No,18,07 Susan Lane,2232,NSW,10,38,Other,"(2150,2250]",Other
Male,53,1976-11-04,Software Consultant,IT,Mass Customer,No,12,43094 Kedzie Pass,2487,NSW,5,40,Other,"(2450,2550]",Other
Female,91,1967-01-20,Senior Financial Analyst,Financial Services,Mass Customer,Yes,13,678 Lyons Trail,3130,VIC,10,50,Other,"(3050,3150]",Other
Male,56,1955-02-13,Analyst Programmer,n/a,Mass Customer,Yes,13,1832 Burning Wood Place,3201,VIC,7,62,Analyst Programmer,"(3150,3250]",Other
Male,80,1978-01-21,Cost Accountant,Financial Services,Affluent Customer,Yes,17,5642 Debs Terrace,2223,NSW,11,39,Other,"(2150,2250]",Other
Female,67,1977-09-10,Help Desk Operator,Manufacturing,High Net Worth,Yes,16,73 Riverside Trail,3777,VIC,7,39,Other,"(3750,3850]",Other
Male,21,1938-11-29,Graphic Designer,Health,Mass Customer,No,19,082 Welch Lane,2089,NSW,11,78,Graphic Designer,"(2050,2150]",Other
Female,24,1996-02-29,Programmer,Health,High Net Worth,No,12,72 Mccormick Circle,3023,VIC,7,21,Other,"(2950,3050]","(2950,3050]"
Female,75,1983-03-08,Social Worker,Health,High Net Worth,No,10,15669 Arizona Trail,3194,VIC,10,34,Other,"(3150,3250]",Other
Female,15,1957-12-05,Speech Pathologist,n/a,Affluent Customer,No,18,79 Armistice Parkway,2117,NSW,7,59,Other,"(2050,2150]",Other
Male,84,1995-12-09,Nuclear Power Engineer,Manufacturing,Mass Customer,No,14,2637 Monument Trail,3106,VIC,11,21,Other,"(3050,3150]",Other
Male,65,1954-07-18,Civil Engineer,Manufacturing,Mass Customer,No,17,37919 Old Gate Park,2163,NSW,8,62,Civil Engineer,"(2150,2250]",Other
Female,48,1958-08-28,Health Coach,Health,High Net Worth,No,11,00 Judy Terrace,2035,NSW,12,58,Other,"[1950,2050]",Other
Male,57,1963-10-15,Data Coordiator,Argiculture,Mass Customer,Yes,15,7 Clemons Circle,4350,QLD,2,53,Other,"(4250,4350]",Other
Male,57,1953-05-17,Assistant Media Planner,Entertainment,Affluent Customer,No,17,6455 Mayfield Street,3350,VIC,3,64,Other,"(3250,3350]",Other
Female,46,1989-01-14,Product Engineer,Financial Services,Mass Customer,No,7,7873 Meadow Vale Plaza,2460,NSW,3,28,Other,"(2450,2550]",Other
Male,76,1998-01-12,Engineer,Financial Services,Affluent Customer,Yes,1,45 Banding Hill,2009,NSW,10,19,Other,"[1950,2050]",Other
Female,33,1991-12-18,Information Systems Manager,Financial Services,Mass Customer,No,3,53 Moulton Avenue,2880,NSW,1,25,Information Systems Manager,"(2850,2950]","(2850,2950]"
Male,97,1970-01-21,Operator,Argiculture,Mass Customer,Yes,10,9082 Waywood Avenue,2250,NSW,8,47,Other,"(2150,2250]",Other
Male,3,1991-12-01,Systems Administrator,Property,Mass Customer,No,12,30049 Brown Road,2233,NSW,9,25,Other,"(2150,2250]",Other
Male,87,1993-10-18,Sales Representative,Retail,Affluent Customer,No,15,7 Huxley Trail,3818,VIC,5,23,Other,"(3750,3850]",Other
Male,70,1945-11-08,Software Engineer,Manufacturing,Mass Customer,Yes,19,3 Service Center,2127,NSW,9,71,Other,"(2050,2150]",Other
Female,13,1947-07-19,Senior Financial Analyst,Financial Services,Mass Customer,Yes,20,0627 Golf Center,4152,QLD,9,69,Other,"(4150,4250]",Other
